Player,Team,Pos,L3,L5,L10,All,1,2,3,4,5
Tony Bradley,CHI,C,4,4,4,2.8,,,4,,
Garrett Temple,NOP,G,4,3.5,4,7.1,4,,,,3
Thanasis Antetokounmpo,MIL,F,4,3.3,3.5,4.2,,4,4,,2
Jaxson Hayes,NOP,C,4,3.3,6.4,12.9,4,,4,2,3
Ziaire Williams,MEM,F,4,3,10,17,4,,,,2
Kenneth Lofton,MEM,F,4,3,3,3.9,4,,,,2
Jake LaRavia,MEM,F,4,3,4.5,12.4,4,,,,2
Luka Garza,MIN,C,4,3,12.2,9,4,,,,2
Kennedy Chandler,MEM,G,4,3,3,9.1,4,,,,2
Jack White,DEN,F,4,2.5,3.3,3.2,,4,,1,
Peyton Watson,DEN,F,4,2.5,4.3,3.2,,4,,1,
Robin Lopez,CLE,C,3.5,3.5,3.2,7.6,5,2,,,
Admiral Schofield,ORL,F,3,3,3,12.6,3,,,,
Garrison Mathews,ATL,G,3,3,3,3,,2,4,,
Vit Krejci,ATL,G,3,3,3.8,5.6,,2,4,,
Bruno Fernando,ATL,C,3,3,3,3,,2,4,,
Miles McBride,NYK,G,2.5,3,9,12.5,4,,1,4,
Stanley Umude,DET,G,2,2,2,2,,,2,,
Marko Simonovic,CHI,C,2,2,2,1.7,,,2,,
Derrick Rose,NYK,G,2,2,2,12.6,2,,,,
Alex Len,SAC,C,2,2,2,3.4,,,2,,
Richaun Holmes,SAC,C,2,2,6,8.9,,,2,,
JD Davison,BOS,G,2,2,2,2.3,,,2,,
Matthew Dellavedova,SAC,G,2,1.5,6.6,5.9,,,2,1,
Amir Coffey,LAC,F,1,11,11,14,1,,,2,30
Moussa Diabate,LAC,F,1,2.3,2.3,9.6,1,,,2,4
Andrew Wiggins,GSW,F,0,39,33.2,32.1,,,,,39
Fred VanVleet,TOR,G,0,36,36.7,36.9,,,,35,37
Mike Muscala,BOS,C,0,30.5,25.7,25.7,,,,44,17
Robert Covington,LAC,F,0,26,13,16.2,,,,,26
Tre Jones,SAS,G,0,25,17,29.3,,,,,25
Payton Pritchard,BOS,G,0,16,13.9,12.8,,,,14,18
Stanley Johnson,SAS,F,0,15,20.3,15.7,,,,,15
Brandon Boston,LAC,G,0,14,14,11.8,,,,2,26
Isaiah Roby,SAS,F,0,13,14.7,11.3,,,,6,20
Goran Dragic,CHI,G,0,11,11.5,15.4,,,,,11
George Hill,IND,G,0,10,10,10,,,,10,
Eugene Omoruyi,OKC,F,0,9,8.3,11.9,,,,9,
Patty Mills,BKN,G,0,7,16.3,13.3,,,,,7
Max Christie,LAL,G,0,7,10.7,14.3,,,,7,
Oshae Brissett,IND,F,0,7,11.8,16.1,,,,,7
Dru Smith,BKN,G,0,4,9.7,9.7,,,,4,
Jason Preston,LAC,G,0,4,4,9.3,,,,,4
Rodney McGruder,DET,G,0,4,4,10.4,,,,,4
Danuel House,PHI,F,0,4,5,14.8,,,,4,
David Duke,BKN,G,0,4,7.5,8.8,,,,4,
Montrezl Harrell,PHI,C,0,3,8.2,12.5,,,,3,
Quenton Jackson,WAS,G,0,2.5,2.7,2.7,,,,2,3
Wendell Moore,MIN,F,0,2,7,5.8,,,,,2
Josh Minott,MIN,F,0,2,13,6.2,,,,,2
Tyrese Martin,ATL,F,0,2,2,3.5,,,,,2
Evan Fournier,NYK,G,0,2,14.7,18,,,,2,
Johnny Davis,WAS,G,0,2,3.7,4.7,,,,2,
Vernon Carey,WAS,C,0,2,2.5,2.5,,,,2,
Keon Ellis,SAC,G,0,1,6,3.9,,,,1,
James Wiseman,GSW,C,0,0,11,12.5,,,,,
Justise Winslow,POR,F,0,0,0,26.7,,,,,
Zion Williamson,NOP,F,0,0,0,33,,,,,
Alondes Williams,BKN,G,0,0,0,5,,,,,
Vince Williams,MEM,F,0,0,0,5.4,,,,,
Russell Westbrook,LAL,G,0,0,29.8,28.7,,,,,
Duane Washington,PHX,G,0,0,0,12.6,,,,,
T.J. Warren,BKN,F,0,0,17,18.8,,,,,
John Wall,LAC,G,0,0,0,22.1,,,,,
Kemba Walker,DAL,G,0,0,0,15.9,,,,,
Noah Vonleh,BOS,C,0,0,0,7.4,,,,,
Devin Vassell,SAS,F,0,0,0,31.3,,,,,
Jarred Vanderbilt,UTA,F,0,0,18,24,,,,,
Karl-Anthony Towns,MIN,C,0,0,0,33.8,,,,,
Juan Toscano-Anderson,LAL,F,0,0,0,12.2,,,,,
Isaiah Todd,WAS,F,0,0,0,3.3,,,,,
Matisse Thybulle,PHI,F,0,0,11.5,12,,,,,
Terry Taylor,IND,F,0,0,5,8.7,,,,,
Cole Swider,LAL,F,0,0,3,6.5,,,,,
Edmond Sumner,BKN,G,0,0,25,14.6,,,,,
Jaden Springer,PHI,G,0,0,0,3.9,,,,,
Dru Smith,MIA,G,0,0,0,13.6,,,,,
Chris Silva,DAL,C,0,0,3,3,,,,,
Landry Shamet,PHX,G,0,0,0,21.4,,,,,
Jordan Schakel,WAS,F,0,0,0,3,,,,,
Dario Saric,PHX,F,0,0,19.8,14.4,,,,,
Matt Ryan,MIN,F,0,0,13.8,8.7,,,,,
Matt Ryan,LAL,F,0,0,0,10.8,,,,,
D'Angelo Russell,MIN,G,0,0,30.5,32.9,,,,,
Terrence Ross,ORL,F,0,0,0,22.5,,,,,
Ryan Rollins,GSW,G,0,0,0,5.2,,,,,
Josh Richardson,SAS,G,0,0,29.3,23.8,,,,,
Jared Rhoden,DET,F,0,0,0,12,,,,,
Davon Reed,DEN,G,0,0,11.7,9.1,,,,,
Cam Reddish,NYK,F,0,0,0,21.9,,,,,
Neemias Queta,SAC,C,0,0,0,6,,,,,
Trevelin Queen,IND,G,0,0,0,10,,,,,
Joshua Primo,SAS,G,0,0,0,23.5,,,,,
Micah Potter,UTA,C,0,0,0,4.7,,,,,
Kevin Porter,HOU,G,0,0,0,34,,,,,
Otto Porter,TOR,F,0,0,0,18.4,,,,,
Aleksej Pokusevski,OKC,F,0,0,0,21.8,,,,,
Jakob Poeltl,SAS,C,0,0,27.8,26.1,,,,,
Mason Plumlee,CHA,C,0,0,31,28.4,,,,,
Scotty Pippen,LAL,G,0,0,0,5,,,,,
Gary Payton,POR,G,0,0,20.3,17.1,,,,,
KZ Okpala,SAC,F,0,0,0,7.1,,,,,
Jordan Nwora,MIL,F,0,0,6,15.7,,,,,
Jusuf Nurkic,POR,C,0,0,2,27.2,,,,,
Kendrick Nunn,LAL,G,0,0,0,13.5,,,,,
Nerlens Noel,DET,C,0,0,3,10.8,,,,,
Zeke Nnaji,DEN,F,0,0,19,13.5,,,,,
Svi Mykhailiuk,NYK,G,0,0,0,3,,,,,
Mike Muscala,OKC,C,0,0,15.5,14.5,,,,,
Markieff Morris,BKN,F,0,0,6.5,10.5,,,,,
Chima Moneke,SAC,F,0,0,0,4,,,,,
Isaiah Mobley,CLE,C,0,0,0,3.3,,,,,
Jalen McDaniels,CHA,F,0,0,23,26.6,,,,,
Garrison Mathews,HOU,G,0,0,13,13.4,,,,,
Cody Martin,CHA,G,0,0,0,19.3,,,,,
Theo Maledon,CHA,G,0,0,0,16.1,,,,,
Kyle Lowry,MIA,G,0,0,24,33.3,,,,,
Kevin Love,CLE,F,0,0,0,20,,,,,
Saben Lee,PHI,G,0,0,0,5,,,,,
A.J. Lawson,MIN,G,0,0,0,2,,,,,
Romeo Langford,SAS,F,0,0,0,20.3,,,,,
Furkan Korkmaz,PHI,G,0,0,2,10.2,,,,,
Kevin Knox,DET,F,0,0,8.7,14.1,,,,,
Maxi Kleber,DAL,F,0,0,0,25.5,,,,,
Braxton Key,DET,F,0,0,0,3,,,,,
Luke Kennard,LAC,G,0,0,12.7,20.7,,,,,
Trevor Keels,NYK,G,0,0,0,1,,,,,
Frank Kaminsky,ATL,C,0,0,4.5,6.7,,,,,
Mfiondu Kabengele,BOS,C,0,0,0,7,,,,,
Nikola Jovic,MIA,F,0,0,0,13.6,,,,,
DeAndre Jordan,DEN,C,0,0,18.5,14.7,,,,,
Damian Jones,LAL,C,0,0,0,8,,,,,
Alize Johnson,SAS,F,0,0,0,7.5,,,,,
Cameron Johnson,PHX,F,0,0,22,25.2,,,,,
James Johnson,IND,F,0,0,0,8.2,,,,,
Justin Jackson,BOS,F,0,0,4.5,4.7,,,,,
Reggie Jackson,LAC,G,0,0,22,25.7,,,,,
Kyrie Irving,BKN,G,0,0,31,36.9,,,,,
Andre Iguodala,GSW,F,0,0,0,14.3,,,,,
Serge Ibaka,MIL,C,0,0,0,11.7,,,,,
Bones Hyland,DEN,G,0,0,0,19.5,,,,,
Justin Holiday,ATL,F,0,0,6,14.7,,,,,
George Hill,MIL,G,0,0,1,19.1,,,,,
Udonis Haslem,MIA,C,0,0,10,7.3,,,,,
Josh Hart,POR,F,0,0,32.5,33.4,,,,,
Kevon Harris,ORL,G,0,0,8,12.5,,,,,
R.J. Hampton,ORL,G,0,0,0,13.8,,,,,
Jordan Hall,SAS,G,0,0,0,8.9,,,,,
Rui Hachimura,WAS,F,0,0,0,24.3,,,,,
Danny Green,MEM,G,0,0,14.7,14.7,,,,,
Javonte Green,CHI,F,0,0,0,16.1,,,,,
Devonte' Graham,NOP,G,0,0,14,15.3,,,,,
Eric Gordon,HOU,G,0,0,32.8,30.2,,,,,
Michael Foster,PHI,F,0,0,0,1,,,,,
Trent Forrest,ATL,G,0,0,9.5,13.2,,,,,
Bryn Forbes,MIN,G,0,0,11,10.7,,,,,
Dorian Finney-Smith,DAL,F,0,0,34,32.2,,,,,
Bruno Fernando,HOU,C,0,0,12.8,11.8,,,,,
Kessler Edwards,BKN,F,0,0,6,5.9,,,,,
Kevin Durant,BKN,F,0,0,0,36,,,,,
P.J. Dozier,SAC,G,0,0,0,2.5,,,,,
Devon Dotson,WAS,G,0,0,0,8.8,,,,,
Tyler Dorsey,DAL,G,0,0,0,2.7,,,,,
Spencer Dinwiddie,DAL,G,0,0,34.5,34.2,,,,,
Ousmane Dieng,OKC,F,0,0,18.5,14.9,,,,,
Mamadi Diakite,CLE,F,0,0,3,6.2,,,,,
Dewayne Dedmon,MIA,C,0,0,12,11.7,,,,,
Stephen Curry,GSW,G,0,0,29.5,34.6,,,,,
Cade Cunningham,DET,G,0,0,0,33.3,,,,,
Jarrett Culver,ATL,F,0,0,0,13.9,,,,,
Mike Conley,UTA,G,0,0,30.7,29.6,,,,,
Julian Champagnie,PHI,F,0,0,0,3,,,,,
Justin Champagnie,TOR,F,0,0,0,3.3,,,,,
Facundo Campazzo,DAL,G,0,0,0,6.5,,,,,
Deonte Burton,SAC,F,0,0,3,3,,,,,
Thomas Bryant,LAL,C,0,0,12,21.3,,,,,
Moses Brown,LAC,C,0,0,0,8.5,,,,,
Kendall Brown,IND,F,0,0,0,6.7,,,,,
Greg Brown,POR,F,0,0,4,5.8,,,,,
Sterling Brown,LAL,G,0,0,0,6.3,,,,,
Mikal Bridges,PHX,F,0,0,35,36.4,,,,,
James Bouknight,CHA,G,0,0,0,13.6,,,,,
Leandro Bolmaro,UTA,G,0,0,4,4.9,,,,,
Buddy Boeheim,DET,G,0,0,0,1,,,,,
Goga Bitadze,IND,C,0,0,0,9.6,,,,,
Khem Birch,TOR,C,0,0,0,8.1,,,,,
Saddiq Bey,DET,F,0,0,29.8,28.8,,,,,
Patrick Beverley,LAL,G,0,0,26.7,26.9,,,,,
Davis Bertans,DAL,F,0,0,6,10.5,,,,,
Malik Beasley,UTA,G,0,0,22.7,26.7,,,,,
Darius Bazley,OKC,F,0,0,12,15.4,,,,,
Will Barton,WAS,F,0,0,16,19.4,,,,,
Mo Bamba,ORL,C,0,0,21,17.1,,,,,
Ryan Arcidiacono,NYK,G,0,0,0,2.3,,,,,
Nickeil Alexander-Walker,UTA,G,0,0,5,14.6,,,,,
Steven Adams,MEM,C,0,0,0,27,,,,,
